REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,
finagle,743,closed,2,2018-11-04 16:57:34,20.07,,,1,"b""b' # [Codecov]url  Report[![Impacted file tree graph]url  | [Impacted Files]url  | Coverage \\xce\\x94  [.../]url [..]url [..]url [..]url [.../]url [.../]url [..]url [..]url ... and [2 more]url -[Continue to review full report at Codecov]url '""",,,,,,,,,,,,,,,,,,
finagle,743,closed,3,2018-11-04 16:57:34,13.82,,1,,"b""b' cc OWNERS:  @dschobel @edede @koliver @mnakamura @mpatidar @roanta @vkostyukov'""",,,,,,,,,,,,,,,,,,
finagle,743,closed,4,2018-11-04 16:57:34,63.95,,1,,"b""b' Hi chris"," taking a look at this today'""",,,,,,,,,,,,,,,,,
finagle,743,closed,5,2018-11-04 16:57:34,33.0,,,1,"b""b' Awesome"," thanks! '""",,,,,,,,,,,,,,,,,
finagle,743,closed,6,2018-11-04 16:57:34,336.28,,,1,"b'b"" @nepthar thanks for the review! On top of the integration spec I\'ve done a fair bit of ad hoc testing using the REPL. I thought of a few more cases I\'d like to run through"," so I\'m doing those now! ""'",,,,,,,,,,,,,,,,,
finagle,743,closed,7,2018-11-04 16:57:34,1140.7,,,1,"b'b"" @chrisbenincasa Awesome!  By the way", when you run your repl tests, could you please  the commands that you uses to test things into... maybe these comments? I know we don\'t have an official way of capturing that kind of testing," but at least having them here would be fantastic.""'",,,,,,,,,,,,,,,
finagle,743,closed,8,2018-11-04 16:57:34,1268.5,,,1,"b'b"" Most definitely! I\'ll get those added here along with the changes you requested. ""'",,,,,,,,,,,,,,,,,,
finagle,743,closed,9,2018-11-04 16:57:34,1313.7,,1,,"b'b"" @nepthar pushed up changes based on your feedback. I\'m working on cleaning up the logs from a long REPL session and I\'ll post that here once I\'m finished with that.""'",,,,,,,,,,,,,,,,,,
finagle,743,closed,10,2018-11-04 16:57:34,18.07,,,1,"b""b' This was merged as ba578c1445b2e241687ad3c89eec4f3d93431a76. Thanks for the PR!'""",,,,,,,,,,,,,,,,,,
finagle,743,closed,closed,2018-11-26 15:05:46,1328.2,0,5,7,,,,,,,,,,,,,,,,,,,
finagle,743,closed,11,2018-11-04 16:57:34,200.4,,1,,"b'b"" @bryce-anderson I\'m re-opening this PR to allow @chrisbenincasa to post his testing REPL logs here. I\'ll close once they\'re posted.""'",,,,,,,,,,,,,,,,,,
finagle,743,closed,reopened,2018-11-26 18:26:10,200.4,0,6,7,,,,,,,,,,,,,,,,,,,
finagle,743,closed,12,2018-11-04 16:57:34,148.97,1,,,"b'b"" Apologies for the delay here the holiday threw things off for me. I\'ll post those logs ASAP. ""'",,,,,,,,,,,,,,,,,,
finagle,743,closed,13,2018-11-04 16:57:34,1244.53,,,1,"b'b"" @nepthar here\'s a session demonstrating XADD", XREAD, XRANGE, XREVRANGE, XLEN, XDEL," and XTRIM.  url Let me know if you\'d like to see any more cases! ""'",,,,,,,,,,,,
finagle,743,closed,14,2018-11-04 16:57:34,384.63,,,1,"b""b' Thanks again @chrisbenincasa this got merged back in ba578c1445b2e241687ad3c89eec4f3d93431a76 and was included in the 18.12 release.'""",,,,,,,,,,,,,,,,,,
finagle,743,closed,closed,2018-12-13 00:04:19,338.15,1,6,9,,,,,,,,,,,,,,,,,,,
finagle,743,closed,-,-,-,1,6,9,,,,,,,,,,,,,,,,,,,
finagle,766,closed,opened,2019-04-30 00:15:42,,,,,,,,,,,,,,,,,,,,,,,
finagle,766,closed,title,2019-04-30 00:15:42,00:00,,1,,"b""b' finagle-core: Fix rate limiter if negative rate or after window'""",,,,,,,,,,,,,,,,,,
finagle,766,closed,body,2019-04-30 00:15:42,00:00,,1,,"b""b' Problem  When rate is negative then request could be executed"," and after one elapsed time windows rate is not well modified.  Solution  Refuse request when rate is negative and reset correctly limit after one elapsed time window.'""",,,,,,,,,,,,,,,,,
finagle,766,closed,1,2019-04-30 00:15:42,0.12,,,1,"b""b' [![CLA assistant check]url  All committers have signed the CLA.'""",,,,,,,,,,,,,,,,,,
finagle,766,closed,2,2019-04-30 00:15:42,29.35,,,1,"b""b' # [Codecov]url  Report[![Impacted file tree graph]url  | [Impacted Files]url  | Coverage \\xce\\x94  [..]url [..]url [.../]url [..]url [..]url [..]url [..]url [.../]url [..]url [...y4/]url ... and [159 more]url -[Continue to review full report at Codecov]url '""",,,,,,,,,,,,,,,,,,
finagle,766,closed,closed,2019-05-01 09:10:51,535.15,0,2,2,,,,,,,,,,,,,,,,,,,
finagle,766,closed,reopened,2019-05-01 09:10:54,0.05,0,2,2,,,,,,,,,,,,,,,,,,,
finagle,766,closed,closed,2019-05-27 11:41:01,150.12,0,2,2,,,,,,,,,,,,,,,,,,,
finagle,766,closed,reopened,2019-05-27 11:41:04,0.05,0,2,2,,,,,,,,,,,,,,,,,,,
finagle,766,closed,3,2019-04-30 00:15:42,1252.37,,1,,"b'b"" I\'m pulling this internally.""'",,,,,,,,,,,,,,,,,,
finagle,766,closed,4,2019-04-30 00:15:42,1342.8,,1,,"b""b' Merged in 03d1ad8bc6de13676d3164484c4448b8936007b5. '""",,,,,,,,,,,,,,,,,,
finagle,766,closed,closed,2019-06-05 20:00:20,499.27,0,4,2,,,,,,,,,,,,,,,,,,,
finagle,766,closed,-,-,-,0,4,2,,,,,,,,,,,,,,,,,,,
